score<Pub. year>	score<Application year>	score<Earliest priority year>	score<Cited by patents>	score<Cites patents>	score<Simple family size>	score<Extended family size>	score<NPL citations>
2024	2018	2017	1	133	22	22	31
2020	2019	2016	2	14	4	4	0
2017	2016	2013	1	8	5	5	0
2018	2016	2013	0	8	5	5	0
2016	2015	2013	4	0	9	9	0
2018	2016	2015	22	9	7	7	30
2017	2015	2015	5	11	4	4	4
2018	2017	2016	22	8	3	3	0
2018	2014	2014	8	6	5	5	9
2020	2020	2020	7	3	3	3	3
2023	2021	2020	0	1	5	5	0
2016	2015	2014	6	9	2	7	5
2023	2021	2020	0	72	2	2	279
2019	2018	2014	0	41	4	7	9
2022	2018	2017	9	4	3	3	12
2020	2018	2012	0	16	4	6	17
2024	2023	2019	0	23	5	5	8
2019	2018	2017	3	9	8	8	9
2020	2017	2016	0	9	3	3	0
2024	2022	2021	0	0	3	3	0
2023	2023	2022	6	8	2	4	0
2018	2018	2013	0	0	6	34	0
2025	2025	2019	0	0	10	53	0
2019	2019	2013	1	0	6	34	0
2019	2019	2013	5	2	6	34	0
2016	2016	2013	3	36	9	9	0
2016	2016	2013	0	0	9	9	0
2017	2014	2014	2	16	1	1	4
2023	2020	2019	4	2	1	1	24
2021	2021	2020	8	4	12	12	0
2020	2015	2014	2	12	6	6	35
2019	2018	2013	5	2	6	34	0
2018	2017	2016	4	0	3	3	0
2025	2025	2024	1	3	1	1	4
2020	2019	2018	39	0	2	2	0
2024	2023	2022	11	219	30	91	32
2023	2016	2015	1	2	16	16	2
2020	2017	2013	11	56	16	28	129
2019	2017	2013	0	12	5	5	0
2025	2022	2022	1	197	10	91	126
2021	2018	2014	1	26	5	7	5
2021	2020	2019	8	10	14	14	1
2022	2022	2013	0	3	18	34	0
2021	2020	2014	0	8	6	6	35
2021	2020	2019	5	0	14	14	0
2021	2020	2019	5	14	5	5	75
2020	2018	2017	1	31	4	4	5
2023	2022	2013	16	24	18	34	8
2016	2013	2013	3	23	7	7	2
